Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Issue,Volume,Journal Abbreviation,Publisher,Language,Rights,Library Catalog,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags
54NBFCU9,preprint,2021,"Chan, William; Park, Daniel; Lee, Chris; Zhang, Yu; Le, Quoc; Norouzi, Mohammad",SpeechStew: Simply Mix All Available Speech Recognition Data to Train One Large Neural Network,,,,,http://arxiv.org/abs/2104.02133,"We present SpeechStew, a speech recognition model that is trained on a combination of various publicly available speech recognition datasets: AMI, Broadcast News, Common Voice, LibriSpeech, Switchboard/Fisher, Tedlium, and Wall Street Journal. SpeechStew simply mixes all of these datasets together, without any special re-weighting or re-balancing of the datasets. SpeechStew achieves SoTA or near SoTA results across a variety of tasks, without the use of an external language model. Our results include 9.0\% WER on AMI-IHM, 4.7\% WER on Switchboard, 8.3\% WER on CallHome, and 1.3\% on WSJ, which significantly outperforms prior work with strong external language models. We also demonstrate that SpeechStew learns powerful transfer learning representations. We fine-tune SpeechStew on a noisy low resource speech dataset, CHiME-6. We achieve 38.9\% WER without a language model, which compares to 38.6\% WER to a strong HMM baseline with a language model.",4/27/2021,4/9/2024 4:32,5/29/2025 12:59,4/9/2024 4:32,,,,,arXiv,,,arXiv.org,arXiv:2104.02133 [cs],,C:\Users\damru\Zotero\storage\UQXHYW9T\Chan et al. - 2021 - SpeechStew Simply Mix All Available Speech Recogn.pdf; ; C:\Users\damru\Zotero\storage\T6JX8H2Q\2104.html; ,https://arxiv.org/pdf/2104.02133.pdf; https://arxiv.org/abs/2104.02133,,Computer Science - Computation and Language; Computer Science - Machine Learning
MXMZH555,preprint,2021,"Babu, Arun; Wang, Changhan; Tjandra, Andros; Lakhotia, Kushal; Xu, Qiantong; Goyal, Naman; Singh, Kritika; von Platen, Patrick; Saraf, Yatharth; Pino, Juan; Baevski, Alexei; Conneau, Alexis; Auli, Michael",XLS-R: Self-supervised Cross-lingual Speech Representation Learning at Scale,,,,,http://arxiv.org/abs/2111.09296,"This paper presents XLS-R, a large-scale model for cross-lingual speech representation learning based on wav2vec 2.0. We train models with up to 2B parameters on nearly half a million hours of publicly available speech audio in 128 languages, an order of magnitude more public data than the largest known prior work. Our evaluation covers a wide range of tasks, domains, data regimes and languages, both high and low-resource. On the CoVoST-2 speech translation benchmark, we improve the previous state of the art by an average of 7.4 BLEU over 21 translation directions into English. For speech recognition, XLS-R improves over the best known prior work on BABEL, MLS, CommonVoice as well as VoxPopuli, lowering error rates by 14-34% relative on average. XLS-R also sets a new state of the art on VoxLingua107 language identification. Moreover, we show that with sufficient model size, cross-lingual pretraining can outperform English-only pretraining when translating English speech into other languages, a setting which favors monolingual pretraining. We hope XLS-R can help to improve speech processing tasks for many more languages of the world.",12/16/2021,4/9/2024 4:32,5/29/2025 12:59,4/9/2024 4:32,,,,,arXiv,,,arXiv.org,"arXiv:2111.09296 [cs, eess]",,C:\Users\damru\Zotero\storage\V3T5YDZ5\Babu et al. - 2021 - XLS-R Self-supervised Cross-lingual Speech Repres.pdf; ; C:\Users\damru\Zotero\storage\RIURI7F3\2111.html; ,https://arxiv.org/pdf/2111.09296.pdf; https://arxiv.org/abs/2111.09296,,Computer Science - Sound; Electrical Engineering and Systems Science - Audio and Speech Processing; Computer Science - Computation and Language
MMCTDYWI,preprint,2021,"Chen, Guoguo; Chai, Shuzhou; Wang, Guanbo; Du, Jiayu; Zhang, Wei-Qiang; Weng, Chao; Su, Dan; Povey, Daniel; Trmal, Jan; Zhang, Junbo; Jin, Mingjie; Khudanpur, Sanjeev; Watanabe, Shinji; Zhao, Shuaijiang; Zou, Wei; Li, Xiangang; Yao, Xuchen; Wang, Yongqing; Wang, Yujun; You, Zhao; Yan, Zhiyong","GigaSpeech: An Evolving, Multi-domain ASR Corpus with 10,000 Hours of Transcribed Audio",,,,,http://arxiv.org/abs/2106.06909,"This paper introduces GigaSpeech, an evolving, multi-domain English speech recognition corpus with 10,000 hours of high quality labeled audio suitable for supervised training, and 40,000 hours of total audio suitable for semi-supervised and unsupervised training. Around 40,000 hours of transcribed audio is first collected from audiobooks, podcasts and YouTube, covering both read and spontaneous speaking styles, and a variety of topics, such as arts, science, sports, etc. A new forced alignment and segmentation pipeline is proposed to create sentence segments suitable for speech recognition training, and to filter out segments with low-quality transcription. For system training, GigaSpeech provides five subsets of different sizes, 10h, 250h, 1000h, 2500h, and 10000h. For our 10,000-hour XL training subset, we cap the word error rate at 4% during the filtering/validation stage, and for all our other smaller training subsets, we cap it at 0%. The DEV and TEST evaluation sets, on the other hand, are re-processed by professional human transcribers to ensure high transcription quality. Baseline systems are provided for popular speech recognition toolkits, namely Athena, ESPnet, Kaldi and Pika.",6/13/2021,4/9/2024 4:32,5/29/2025 12:59,4/9/2024 4:32,,,,,arXiv,,,arXiv.org,"arXiv:2106.06909 [cs, eess]",,"C:\Users\damru\Zotero\storage\CGPTVHFJ\Chen et al. - 2021 - GigaSpeech An Evolving, Multi-domain ASR Corpus w.pdf; C:\Users\damru\Zotero\storage\34WHY7SW\2106.html",,,Computer Science - Sound; Electrical Engineering and Systems Science - Audio and Speech Processing; Computer Science - Computation and Language
GCD5JL79,conferencePaper,2020,"Shahnawazuddin, S.; Adiga, Nagaraj; Kumar, Kunal; Poddar, Aayushi; Ahmad, Waquar",Voice Conversion Based Data Augmentation to Improve Children’s Speech Recognition in Limited Data Scenario,Interspeech 2020,,,10.21437/Interspeech.2020-1112,https://www.isca-archive.org/interspeech_2020/shahnawazuddin20_interspeech.html,"Automatic recognition of children’s speech is a challenging research problem due to several reasons. One among those is unavailability of large amounts of speech data from child speakers to develop automatic speech recognition (ASR) systems employing deep learning architectures.Using a limited amount of training data limits the power of the learned system. To overcome this issue, we have explored means to effectively make use of adults’ speech data for training an ASR system. For that purpose, generative adversarial network (GAN) based voice conversion (VC) is exploited to modify the acoustic attributes of adults’ speech making it perceptually similar to that of children’s speech. The original and converted speech samples from adult speakers are then pooled together to learn the statistical model parameters. Signiﬁcantly improved recognition rate for children’s speech is noted due to VC-based data augmentation. To further enhance the recognition rate, a limited amount of children’s speech data is also pooled into training. Large reduction in error rate is observed in this case as well. It is worth mentioning that GAN-based VC does not change the speakingrate. To demonstrate the need to deal with speaking-rate differences we report the results of time-scale modiﬁcation of childrens speech test data.",10/25/2020,4/9/2024 4:09,5/29/2025 12:58,4/9/2024 4:09,4382-4386,,,,ISCA,en,,DOI.org (Crossref),,,C:\Users\damru\Zotero\storage\QT9LT739\Shahnawazuddin et al. - 2020 - Voice Conversion Based Data Augmentation to Improv.pdf; ,http://www.interspeech2020.org/uploadfile/pdf/Thu-2-8-10.pdf,,
NC2DBRI2,journalArticle,2020,"Gurunath Shivakumar, Prashanth; Georgiou, Panayiotis","Transfer learning from adult to children for speech recognition: Evaluation, analysis and recommendations",Computer Speech & Language,,0885-2308,10.1016/j.csl.2020.101077,https://www.sciencedirect.com/science/article/pii/S0885230820300103,"Children speech recognition is challenging mainly due to the inherent high variability in children’s physical and articulatory characteristics and expressions. This variability manifests in both acoustic constructs and linguistic usage due to the rapidly changing developmental stage in children’s life. Part of the challenge is due to the lack of large amounts of available children speech data for efficient modeling. This work attempts to address the key challenges using transfer learning from adult’s models to children’s models in a Deep Neural Network (DNN) framework for children’s Automatic Speech Recognition (ASR) task evaluating on multiple children’s speech corpora with a large vocabulary. The paper presents a systematic and an extensive analysis of the proposed transfer learning technique considering the key factors affecting children’s speech recognition from prior literature. Evaluations are presented on (i) comparisons of earlier GMM-HMM and the newer DNN Models, (ii) effectiveness of standard adaptation techniques versus transfer learning, (iii) various adaptation configurations in tackling the variabilities present in children speech, in terms of (a) acoustic spectral variability, and (b) pronunciation variability and linguistic constraints. Our Analysis spans over (i) number of DNN model parameters (for adaptation), (ii) amount of adaptation data, (iii) ages of children, (iv) age dependent-independent adaptation. Finally, we provide Recommendations on (i) the favorable strategies over various aforementioned - analyzed parameters, and (ii) potential future research directions and relevant challenges/problems persisting in DNN based ASR for children’s speech.",9/1/2020,4/9/2024 4:07,5/29/2025 11:50,4/9/2024 4:07,101077,,63,Computer Speech & Language,,,,ScienceDirect,,,C:\Users\damru\Zotero\storage\GCLYNNX2\Gurunath Shivakumar and Georgiou - 2020 - Transfer learning from adult to children for speec.pdf; ; C:\Users\damru\Zotero\storage\6A7WKV43\S0885230820300103.html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7199459/,,Analysis of children’s speech; Automatic speech recognition; Children speech recognition; Deep learning; Deep neural network; Transfer learning
L7P2M535,journalArticle,2022,"Gurunath Shivakumar, Prashanth; Narayanan, Shrikanth",End-to-end neural systems for automatic children speech recognition: An empirical study,Computer Speech & Language,,0885-2308,10.1016/j.csl.2021.101289,https://www.sciencedirect.com/science/article/pii/S0885230821000905,"A key desiderata for inclusive and accessible speech recognition technology is ensuring its robust performance to children’s speech. Notably, this includes the rapidly advancing neural network based end-to-end speech recognition systems. Children speech recognition is more challenging due to the larger intra-inter speaker variability in terms of acoustic and linguistic characteristics compared to adult speech. Furthermore, the lack of adequate and appropriate children speech resources adds to the challenge of designing robust end-to-end neural architectures. This study provides a critical assessment of automatic children speech recognition through an empirical study of contemporary state-of-the-art end-to-end speech recognition systems. Insights are provided on the aspects of training data requirements, adaptation on children data, and the effect of children age, utterance lengths, different architectures and loss functions for end-to-end systems and role of language models on the speech recognition performance.",3/1/2022,4/9/2024 4:05,5/29/2025 12:59,4/9/2024 4:05,101289,,72,Computer Speech & Language,,,,ScienceDirect,,,C:\Users\damru\Zotero\storage\XYKQ3HDF\S0885230821000905.html; ; C:\Users\damru\Zotero\storage\6YFGUFUF\Gurunath Shivakumar and Narayanan - 2022 - End-to-end neural systems for automatic children s.pdf; ,https://www.sciencedirect.com/science/article/abs/pii/S0885230821000905; https://arxiv.org/pdf/2102.09918,,Children speech recognition; End-to-end speech recognition; Residual network; Time depth separable convolutional network; Transformer
HWSFWXYL,webpage,,,[PDF] Spectral Modification Based Data Augmentation For Improving End-to-End ASR For Children's Speech | Semantic Scholar,,,,,https://www.semanticscholar.org/paper/Spectral-Modification-Based-Data-Augmentation-For-Singh-Sailor/c33de1a3b7a7e55b7d6c7dc6d543ac7cf33c3be8,,,7/19/2024 22:13,5/29/2025 13:00,7/19/2024 22:13,,,,,,,,,,,,,,
4SX337UI,journalArticle,2023,"Barcovschi, Andrei; Jain, Rishabh; Corcoran, Peter","A comparative analysis between Conformer-Transducer, Whisper, and wav2vec2 for improving the child speech recognition",2023 International Conference on Speech Technology and Human-Computer Dialogue (SpeD),,,10.1109/SpeD59241.2023.10314867,https://ieeexplore.ieee.org/document/10314867/,"Automatic Speech Recognition (ASR) systems have progressed significantly in their performance on adult speech data; however, transcribing child speech remains challenging due to the acoustic differences in the characteristics of child and adult voices. This work aims to explore the potential of adapting state-of-the-art Conformer-transducer models to child speech to improve child speech recognition performance. Furthermore, the results are compared with those of self-supervised wav2vec2 models and semi-supervised multi-domain Whisper models that were previously finetuned on the same data. We demonstrate that finetuning Conformer-transducer models on child speech yields significant improvements in ASR performance on child speech, compared to the non-finetuned models. We also show Whisper and wav2vec2 adaptation on different child speech datasets. Our detailed comparative analysis shows that wav2vec2 provides the most consistent performance improvements among the three methods studied.",10/25/2023,7/19/2024 22:12,5/29/2025 12:59,7/19/2024 22:12,42-47,,,,,,https://doi.org/10.15223/policy-029,Semantic Scholar,"Conference Name: 2023 International Conference on Speech Technology and Human-Computer Dialogue (SpeD) ISBN: 9798350327977 Place: Bucharest, Romania Publisher: IEEE",,; C:\Users\damru\Zotero\storage\4MM5YGB2\Barcovschi et al. - 2023 - A comparative analysis between Conformer-Transduce.pdf,https://www.semanticscholar.org/paper/A-comparative-analysis-between-Whisper%2C-and-for-the-Barcovschi-Jain/949bef66273661eab439b6bd9b9a4015de9a5f4d,,
WXU7XHH3,conferencePaper,2024,"Liu, Dancheng; Xiong, Jinjun",FASA: a Flexible and Automatic Speech Aligner for Extracting High-quality Aligned Children Speech Data,,,,,https://www.semanticscholar.org/paper/FASA%3A-a-Flexible-and-Automatic-Speech-Aligner-for-Liu-Xiong/62a721694bbb2c9de1899374bb68ae7ecb3ef419,"Automatic Speech Recognition (ASR) for adults' speeches has made significant progress by employing deep neural network (DNN) models recently, but improvement in children's speech is still unsatisfactory due to children's speech's distinct characteristics. DNN models pre-trained on adult data often struggle in generalizing children's speeches with fine tuning because of the lack of high-quality aligned children's speeches. When generating datasets, human annotations are not scalable, and existing forced-alignment tools are not usable as they make impractical assumptions about the quality of the input transcriptions. To address these challenges, we propose a new forced-alignment tool, FASA, as a flexible and automatic speech aligner to extract high-quality aligned children's speech data from many of the existing noisy children's speech data. We demonstrate its usage on the CHILDES dataset and show that FASA can improve data quality by 13.6$\times$ over human annotations.",6/25/2024,7/19/2024 22:11,5/29/2025 10:02,7/19/2024 22:11,,,,,,,,Semantic Scholar,,,C:\Users\damru\Zotero\storage\GI3T3U88\Liu and Xiong - 2024 - FASA a Flexible and Automatic Speech Aligner for .pdf; ; ,https://arxiv.org/pdf/2406.17926.pdf; https://www.semanticscholar.org/paper/FASA%3A-a-Flexible-and-Automatic-Speech-Aligner-for-Liu-Xiong/62a721694bbb2c9de1899374bb68ae7ecb3ef419,,
SZZAQAJV,journalArticle,2024,"Rolland, Thomas; Abad, Alberto",Exploring Adapters with Conformers for Children’s Automatic Speech Recognition,"ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,10.1109/ICASSP48485.2024.10447091,https://ieeexplore.ieee.org/document/10447091/,"The high variability in acoustic, pronunciation, and linguistic characteristics of children’s speech makes of children’s automatic speech recognition (ASR) a complex task. Training a dedicated ASR model from scratch for children remains challenging, mainly due to the limited availability of children’s data. To tackle this limitation, a common strategy involves fine-tuning a pre-trained ASR model. However, this approach faces challenges due to the diversity of speakers and data scarcity, especially when dealing with large ASR models like the Conformer. In this study, we explore an alternative approach known as Adapter transfer. Adapter transfer requires training fewer parameters and can be more effective in adapting large ASR models for children’s speech. In this paper, we assess various Adapter configurations in the literature and introduce a novel configuration called Two Serial Adapter (TSA). The experimental results indicate that Adapter transfer consistently outperforms traditional fine-tuning across various configurations for the Conformer model.",4/14/2024,7/19/2024 22:11,5/29/2025 12:58,7/19/2024 22:11,12747-12751,,,,,,https://doi.org/10.15223/policy-029,Semantic Scholar,"Conference Name: ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) ISBN: 9798350344851 Place: Seoul, Korea, Republic of Publisher: IEEE",,,https://www.semanticscholar.org/paper/Exploring-Adapters-with-Conformers-for-Children%E2%80%99s-Rolland-Abad/d21661500948db9df426089508de1faeb15ef43c,,
